DRG 	FINAL_RULE_POST_ACUTE	FINAL_RULE_SPECIAL_PAY	MDC	TYPE	DRG_DESC	RW	GMLOS	AMLOS	Year
001	No	No	PRE	SURG	HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC	26.0295	29.3523	38.4688	2013
002	No	No	PRE	SURG	HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC	13.9131	15.5281	19.736	2013
003	Yes	No	PRE	SURG	ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.	17.7369	28.2386	34.4649	2013
004	Yes	No	PRE	SURG	TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.	10.8833	20.8683	25.5295	2013
005	No	No	PRE	SURG	LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT	10.9894	16.0086	21.6633	2013
006	No	No	PRE	SURG	LIVER TRANSPLANT W/O MCC	4.7178	7.9985	8.8863	2013
007	No	No	PRE	SURG	LUNG TRANSPLANT	9.6127	14.7175	18.2065	2013
008	No	No	PRE	SURG	SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT	5.111	9.8469	11.3882	2013
010	No	No	PRE	SURG	PANCREAS TRANSPLANT	3.8954	8.0017	8.6064	2013
011	No	No	PRE	SURG	TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC	4.8434	11.889	14.8922	2013
012	No	No	PRE	SURG	TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC	3.1576	8.5024	9.9821	2013
013	No	No	PRE	SURG	TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC	1.9566	5.5902	6.4667	2013
014	No	No	PRE	SURG	ALLOGENEIC BONE MARROW TRANSPLANT	10.5255	18.6482	25.7956	2013
016	No	No	PRE	SURG	AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC	6.0932	17.8665	19.931	2013
017	No	No	PRE	SURG	AUTOLOGOUS BONE MARROW TRANSPLANT W/O CC/MCC	4.5817	11.0214	14.1589	2013
020	No	No	01	SURG	INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC	9.1016	14.473	17.5655	2013
021	No	No	01	SURG	INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W CC	6.64	11.7505	13.533	2013
022	No	No	01	SURG	INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W/O CC/MCC	4.5056	6.4908	8.0082	2013
023	Yes	No	01	SURG	CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W MCC OR CHEMO IMPLANT	5.2378	7.9188	11.122	2013
024	Yes	No	01	SURG	CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W/O MCC	3.5279	4.3294	6.5076	2013
025	Yes	No	01	SURG	CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC	4.5958	8.1463	10.5416	2013
