HRR Code	HRR Name	Medicare Beneficiaries Enrolled in FFS Part A	Year
1	AL - Birmingham	321059	2011
2	AL - Dothan	65473	2011
5	AL - Huntsville	92535	2011
6	AL - Mobile	105730	2011
7	AL - Montgomery	59937	2011
9	AL - Tuscaloosa	42884	2011
10	AK - Anchorage	68086	2011
11	AZ - Mesa	96112	2011
12	AZ - Phoenix	315263	2011
14	AZ - Sun City	49723	2011
15	AZ - Tucson	124771	2011
16	AR - Fort Smith	58609	2011
18	AR - Jonesboro	40838	2011
19	AR - Little Rock	261678	2011
21	AR - Springdale	64604	2011
22	AR - Texarkana	43397	2011
23	CA - Orange County	231712	2011
25	CA - Bakersfield	91760	2011
31	CA - Chico	54386	2011
33	CA - Contra Costa County	81020	2011
43	CA - Fresno	105054	2011
56	CA - Los Angeles	691565	2011
58	CA - Modesto	89129	2011
62	CA - Napa	43851	2011
65	CA - Alameda County	108230	2011
69	CA - Palm Springs/Rancho Mirage	46656	2011
73	CA - Redding	64606	2011
77	CA - Sacramento	239699	2011
78	CA - Salinas	47541	2011
79	CA - San Bernardino	166474	2011
80	CA - San Diego	275375	2011
81	CA - San Francisco	132315	2011
82	CA - San Jose	131063	2011
83	CA - San Luis Obispo	37253	2011
85	CA - San Mateo County	66179	2011
86	CA - Santa Barbara	53409	2011
87	CA - Santa Cruz	31499	2011
89	CA - Santa Rosa	50562	2011
91	CA - Stockton	52600	2011
96	CA - Ventura	84631	2011
101	CO - Boulder	23904	2011
102	CO - Colorado Springs	89216	2011
103	CO - Denver	199114	2011
104	CO - Fort Collins	37579	2011
105	CO - Grand Junction	37404	2011
106	CO - Greeley	40864	2011
107	CO - Pueblo	24632	2011
109	CT - Bridgeport	79099	2011
110	CT - Hartford	203318	2011
111	CT - New Haven	194004	2011
112	DE - Wilmington	115894	2011
113	DC - Washington	321711	2011
115	FL - Bradenton	45473	2011
116	FL - Clearwater	69334	2011
118	FL - Fort Lauderdale	333788	2011
119	FL - Fort Myers	210654	2011
120	FL - Gainesville	86134	2011
122	FL - Hudson	63258	2011
123	FL - Jacksonville	201663	2011
124	FL - Lakeland	41958	2011
127	FL - Miami	231749	2011
129	FL - Ocala	126882	2011
130	FL - Orlando	455189	2011
131	FL - Ormond Beach	64177	2011
133	FL - Panama City	36025	2011
134	FL - Pensacola	117672	2011
137	FL - Sarasota	100741	2011
139	FL - St. Petersburg	54825	2011
140	FL - Tallahassee	91945	2011
141	FL - Tampa	121942	2011
142	GA - Albany	27047	2011
144	GA - Atlanta	563495	2011
145	GA - Augusta	85459	2011
146	GA - Columbus	41044	2011
147	GA - Macon	92874	2011
148	GA - Rome	42376	2011
149	GA - Savannah	105061	2011
150	HI - Honolulu	121702	2011
151	ID - Boise	86403	2011
152	ID - Idaho Falls	23217	2011
154	IL - Aurora	28219	2011
155	IL - Blue Island	123539	2011
156	IL - Chicago	266279	2011
158	IL - Elgin	87556	2011
161	IL - Evanston	145054	2011
163	IL - Hinsdale	55669	2011
164	IL - Joliet	87339	2011
166	IL - Melrose Park	161345	2011
170	IL - Peoria	96494	2011
171	IL - Rockford	106835	2011
172	IL - Springfield	149298	2011
173	IL - Urbana	60303	2011
175	IL - Bloomington	22783	2011
179	IN - Evansville	107951	2011
180	IN - Fort Wayne	91836	2011
181	IN - Gary	79995	2011
183	IN - Indianapolis	364078	2011
184	IN - Lafayette	27696	2011
185	IN - Muncie	27627	2011
186	IN - Munster	45330	2011
187	IN - South Bend	87559	2011
188	IN - Terre Haute	29642	2011
190	IA - Cedar Rapids	37436	2011
191	IA - Davenport	78066	2011
192	IA - Des Moines	154777	2011
193	IA - Dubuque	17996	2011
194	IA - Iowa City	47649	2011
195	IA - Mason City	27698	2011
196	IA - Sioux City	37149	2011
197	IA - Waterloo	33669	2011
200	KS - Topeka	67980	2011
201	KS - Wichita	191580	2011
203	KY - Covington	44192	2011
204	KY - Lexington	233577	2011
205	KY - Louisville	241991	2011
207	KY - Owensboro	24491	2011
208	KY - Paducah	71860	2011
209	LA - Alexandria	47190	2011
210	LA - Baton Rouge	86710	2011
212	LA - Houma	34967	2011
213	LA - Lafayette	89722	2011
214	LA - Lake Charles	36589	2011
216	LA - Metairie	43556	2011
217	LA - Monroe	40980	2011
218	LA - New Orleans	52763	2011
219	LA - Shreveport	102107	2011
220	LA - Slidell	22379	2011
221	ME - Bangor	77656	2011
222	ME - Portland	177989	2011
223	MD - Baltimore	346788	2011
225	MD - Salisbury	90503	2011
226	MD - Takoma Park	94388	2011
227	MA - Boston	671430	2011
230	MA - Springfield	111277	2011
231	MA - Worcester	83893	2011
232	MI - Ann Arbor	161416	2011
233	MI - Dearborn	64363	2011
234	MI - Detroit	224799	2011
235	MI - Flint	73786	2011
236	MI - Grand Rapids	111751	2011
238	MI - Kalamazoo	91245	2011
239	MI - Lansing	86199	2011
240	MI - Marquette	34372	2011
242	MI - Muskegon	35774	2011
243	MI - Petoskey	31974	2011
244	MI - Pontiac	52787	2011
245	MI - Royal Oak	87627	2011
246	MI - Saginaw	116101	2011
248	MI - St. Joseph	22150	2011
249	MI - Traverse City	42581	2011
250	MN - Duluth	45928	2011
251	MN - Minneapolis	259501	2011
253	MN - Rochester	50299	2011
254	MN - St. Cloud	21330	2011
256	MN - St. Paul	80562	2011
257	MS - Gulfport	27720	2011
258	MS - Hattiesburg	47270	2011
259	MS - Jackson	156143	2011
260	MS - Meridian	35106	2011
261	MS - Oxford	24822	2011
262	MS - Tupelo	68726	2011
263	MO - Cape Girardeau	48827	2011
264	MO - Columbia	112184	2011
267	MO - Joplin	62213	2011
268	MO - Kansas City	291555	2011
270	MO - Springfield	126666	2011
273	MO - St. Louis	445343	2011
274	MT - Billings	82378	2011
275	MT - Great Falls	21792	2011
276	MT - Missoula	62290	2011
277	NE - Lincoln	88294	2011
278	NE - Omaha	173032	2011
279	NV - Las Vegas	179382	2011
280	NV - Reno	99019	2011
281	NH - Lebanon	77800	2011
282	NH - Manchester	135124	2011
