Beneficiary State of Residence	State Code	Medicare Beneficiaries Enrolled in FFS Part A	Year
Alabama	AL	680329	2011
Alaska	AK	68217	2011
Arizona	AZ	602794	2011
Arkansas	AR	460268	2011
California	CA	3010057	2011
Colorado	CO	424627	2011
Connecticut	CT	462245	2011
Delaware	DE	146926	2011
District of Columbia	DC	70079	2011
Florida	FL	2360330	2011
Georgia	GA	981607	2011
Hawaii	HI	121715	2011
Idaho	ID	169240	2011
Illinois	IL	1676235	2011
Indiana	IN	846401	2011
Iowa	IA	454206	2011
Kansas	KS	388213	2011
Kentucky	KY	638119	2011
Louisiana	LA	532657	2011
Maine	ME	232713	2011
Maryland	MD	740489	2011
Massachusetts	MA	892448	2011
Michigan	MI	1280694	2011
Minnesota	MN	446339	2011
Mississippi	MS	455053	2011
Missouri	MO	799608	2011
Montana	MT	147129	2011
Nebraska	NE	249719	2011
Nevada	NV	257327	2011
New Hampshire	NH	214260	2011
New Jersey	NJ	1160183	2011
New Mexico	NM	234211	2011
New York	NY	2075037	2011
North Carolina	NC	1256430	2011
North Dakota	ND	98266	2011
Ohio	OH	1272335	2011
Oklahoma	OK	521759	2011
Oregon	OR	378112	2011
Pennsylvania	PA	1431805	2011
Rhode Island	RI	119274	2011
South Carolina	SC	662728	2011
South Dakota	SD	124530	2011
Tennessee	TN	808401	2011
Texas	TX	2467327	2011
Utah	UT	188911	2011
Vermont	VT	108019	2011
Virginia	VA	999169	2011
Washington	WA	746945	2011
West Virginia	WV	299743	2011
Wisconsin	WI	649330	2011
Wyoming	WY	77178	2011
Alabama	AL	696024	2012
Alaska	AK	72268	2012
Arizona	AZ	625018	2012
Arkansas	AR	464412	2012
California	CA	3127277	2012
Colorado	CO	442329	2012
Connecticut	CT	463137	2012
Delaware	DE	151816	2012
District of Columbia	DC	71893	2012
Florida	FL	2371543	2012
Georgia	GA	1007921	2012
Hawaii	HI	122300	2012
Idaho	ID	173602	2012
Illinois	IL	1706405	2012
Indiana	IN	854886	2012
Iowa	IA	461109	2012
Kansas	KS	396239	2012
Kentucky	KY	656601	2012
Louisiana	LA	541863	2012
Maine	ME	235311	2012
Maryland	MD	768921	2012
Massachusetts	MA	919683	2012
Michigan	MI	1299502	2012
Minnesota	MN	442849	2012
Mississippi	MS	460646	2012
Missouri	MO	807761	2012
Montana	MT	151697	2012
Nebraska	NE	253688	2012
Nevada	NV	267422	2012
New Hampshire	NH	226705	2012
New Jersey	NJ	1172779	2012
New Mexico	NM	239163	2012
New York	NY	2093697	2012
North Carolina	NC	1288588	2012
North Dakota	ND	97979	2012
Ohio	OH	1272896	2012
Oklahoma	OK	532301	2012
Oregon	OR	392446	2012
Pennsylvania	PA	1461967	2012
Rhode Island	RI	121990	2012
South Carolina	SC	680094	2012
South Dakota	SD	124563	2012
Tennessee	TN	815995	2012
Texas	TX	2492677	2012
Utah	UT	195987	2012
Vermont	VT	111237	2012
Virginia	VA	1031630	2012
Washington	WA	756374	2012
West Virginia	WV	303966	2012
Wisconsin	WI	653283	2012
Wyoming	WY	80718	2012
Alabama	AL	704204	2013
Alaska	AK	75630	2013
Arizona	AZ	646886	2013
Arkansas	AR	463788	2013
California	CA	3182334	2013
Colorado	CO	459014	2013
Connecticut	CT	463887	2013
Delaware	DE	154918	2013
District of Columbia	DC	73187	2013
Florida	FL	2384355	2013
Georgia	GA	1018757	2013
Hawaii	HI	123549	2013
Idaho	ID	180417	2013
Illinois	IL	1733670	2013
Indiana	IN	857377	2013
Iowa	IA	469624	2013
Kansas	KS	403649	2013
Kentucky	KY	625736	2013
Louisiana	LA	550127	2013
Maine	ME	236841	2013
Maryland	MD	798245	2013
Massachusetts	MA	942479	2013
Michigan	MI	1305648	2013
Minnesota	MN	433624	2013
Mississippi	MS	465286	2013
Missouri	MO	812387	2013
Montana	MT	157994	2013
Nebraska	NE	260525	2013
Nevada	NV	281608	2013
New Hampshire	NH	234105	2013
New Jersey	NJ	1184571	2013
New Mexico	NM	241499	2013
New York	NY	2098531	2013
North Carolina	NC	1313392	2013
North Dakota	ND	98044	2013
Ohio	OH	1281718	2013
Oklahoma	OK	542812	2013
Oregon	OR	402852	2013
Pennsylvania	PA	1477364	2013
Rhode Island	RI	124619	2013
South Carolina	SC	689134	2013
South Dakota	SD	125377	2013
Tennessee	TN	813926	2013
Texas	TX	2442208	2013
Utah	UT	210635	2013
Vermont	VT	114446	2013
Virginia	VA	1067584	2013
Washington	WA	782022	2013
West Virginia	WV	305138	2013
Wisconsin	WI	658317	2013
Wyoming	WY	85316	2013
Alabama	AL	712041	2014
Alaska	AK	79066	2014
Arizona	AZ	670923	2014
Arkansas	AR	468623	2014
California	CA	3198036	2014
Colorado	CO	472131	2014
Connecticut	CT	467170	2014
Delaware	DE	159741	2014
District of Columbia	DC	74064	2014
Florida	FL	2400181	2014
Georgia	GA	1023955	2014
Hawaii	HI	126649	2014
Idaho	ID	184683	2014
Illinois	IL	1636861	2014
Indiana	IN	867867	2014
Iowa	IA	478522	2014
Kansas	KS	411058	2014
Kentucky	KY	628030	2014
Louisiana	LA	551017	2014
Maine	ME	236495	2014
Maryland	MD	823180	2014
Massachusetts	MA	945076	2014
Michigan	MI	1282631	2014
Minnesota	MN	427070	2014
Mississippi	MS	471842	2014
Missouri	MO	813303	2014
Montana	MT	160421	2014
Nebraska	NE	267825	2014
Nevada	NV	291523	2014
New Hampshire	NH	239795	2014
New Jersey	NJ	1220753	2014
New Mexico	NM	244717	2014
New York	NY	2079445	2014
North Carolina	NC	1220881	2014
North Dakota	ND	98919	2014
Ohio	OH	1289051	2014
Oklahoma	OK	553245	2014
Oregon	OR	411065	2014
Pennsylvania	PA	1498520	2014
Rhode Island	RI	126585	2014
South Carolina	SC	699126	2014
South Dakota	SD	126420	2014
Tennessee	TN	811615	2014
Texas	TX	2463003	2014
Utah	UT	218381	2014
Vermont	VT	118129	2014
Virginia	VA	1081468	2014
Washington	WA	803417	2014
West Virginia	WV	301733	2014
Wisconsin	WI	659599	2014
Wyoming	WY	88390	2014
